pid,label,principal_link,additional_link,description,creators,contact_information,facebook,twitter,instagram,status,order,layout,collection,thumbnail,full
obj008,Border Crossers,http://amorphicrobotworks.org/border-crossers,,"A robot, designed, of course, to cross borders specifically the border between Mexico and the United States. With the rise and reign of a president who won the support of xenophobes by promising a massive wall between the US and Mexico, this creation serves a poetic and political function. The project comprise a series of lightweight robotic sculptures that poetically explore the notion of borders and boundary conditions. The inflatable sculptures rise up to several stories high and extend across a given threshold. Their choreographed performance, originating on both sides of the border, would stage a symbolic connection. The project treats the border as a physical condition that can be temporarily transcended by technological proxies. It offers a critique of militarized geopolitical borders, and a metaphorical suspension of those borders in the form of temporary arches.",Chico MacMurtie,,https://www.facebook.com/BorderCrosser/,,,inactive,007,united_item,united,img/derivatives/simple/obj008/thumbnail.jpg,img/derivatives/simple/obj008/full.jpg
obj034,Desde aqui se ve el futuro,http://minicienciaficcion.blogspot.com/,,"Antology of mini(science)fiction conceived by Pepe Rojo and Taller[e]media during the series of interventons that he realized in the International Line of San Ysidro, in Tijuana, Baja California.",Pepe Rojo,rojopepe@hotmail.com,,,,inactive,033,united_item,united,img/derivatives/simple/obj034/thumbnail.jpg,img/derivatives/simple/obj034/full.jpg
obj020,Borderlands: International League of Conservation Photographers,https://conservationphotographers.org/?expedition=borderlands-rave,,"The Borderlands expedition has helped document the wildlife, landscapes, and human communities of the borderlands, and the impact the border wall is having on them. This expedition is now taking their own story to the public and policy makers, and are using the images to enhance the reach to a coalition of groups and people working on this issue. The photographers in this project have been featured in videos, exhibits, and documentaries that have been shown to various governmental offices in an attempt to impact the decisions made in terms of border security.","International League of Conservation Photographers (ILCP)1, Miguel Angel de la Cueva, Cristina Mittermeier, Jack Dykinga, Kevin Schafer, Roy Toft,Wendy Shattil, Krista Schlyer, Chris Linder, Jeff Foott,Ted Wood, Claudio Contreras Koob",images@ilcp.com,,,https://www.instagram.com/iLCP_Photographers/,active,019,united_item,united,img/derivatives/simple/obj020/thumbnail.jpg,img/derivatives/simple/obj020/full.jpg
obj021,Bordersights,https://www.instagram.com/bordersights/,,The project creates a digital archive using Instagram to document the crossing between Mexico and the United States. The photographs displayed show different elements and forms of crossing from one side to the other.,,lasbordersights@gmail.com,,,https://www.instagram.com/bordersights/,active,020,united_item,united,img/derivatives/simple/obj021/thumbnail.jpg,img/derivatives/simple/obj021/full.jpg
obj035,Diccionario enciclopedico de Baja California,http://www.icbc.gob.mx/diccionario_bc.html,,"Digitized version of the ""Encyclopedic Dictionary of Baja California""",Instituto de Cultura de Baja California (ICBC),http://www.icbc.gob.mx/directorio.html,,,,active,034,united_item,united,img/derivatives/simple/obj035/thumbnail.jpg,img/derivatives/simple/obj035/full.jpg
obj009,Border Perspectives,https://www.borderperspective.org/,,"Border Perspective provides educational border trips and uses gallery-like exhibits, written stories, and artist talks to challenge beliefs and understanding about a complex and tumultuous region of our country.

Border Perspective started as an exploration trip along the U.S./Mexico border, showcasing real stories of the people who live there. In early 2017, Yonathan and Jordan Moya took a 9-day photographic journey along the border, traversing almost 2,000 miles through the southern states of Texas, New Mexico, Arizona and California.

The Moya brothers have lived most of their adult lives in the Midwest, but they grew up on the border. Yet, despite their upbringing, they realized they didn't know everything about life on the border.","Yonathan Moya,  Jordan Moya",YONATHAN@BORDERPERSPECTIVE.ORG,https://www.facebook.com/borderperspective/,,https://www.instagram.com/borderperspective/,active,008,united_item,united,img/derivatives/simple/obj009/thumbnail.jpg,img/derivatives/simple/obj009/full.jpg
obj023,Bronsbil Estacion,https://bronsbilestacion.blogspot.com/2015/04/taking-it-to-streets-part-4-of-4.html,,Bronsbil Estacion began in 2009 as the Reliving Brownsville Facebook page. It went through several changes and after the Brownsville Station band reunited in 2012 it became Bronsbil Estacion. It continues on Facebook but only as a jump off point to this blog.,Javier R. Garcia,,https://www.facebook.com/brownsville.station/,,,active,022,united_item,united,img/derivatives/simple/obj023/thumbnail.jpg,img/derivatives/simple/obj023/full.jpg
obj037,Dona Ana Sphere Project,https://donaanasphere.com/,,"The objective of the Dona Ana Sphere Project is to contribute towards a fuller understanding of both crisis and dispute resolution during natural disaster, war and military occupation. From 1828 to the 1850s, a series of floods devastated the mostly indigenous and mestizo communities of Paso Del Norte. This project will examine the strategies of the villagers of Dona Ana during the occupation of their village by the U.S. military. It will also examine the local Juez de Paz (Justice of the Peace) process in resolving the intra-village conflict precipitated by the flooding and inter-community migration. One of the key aims of this study is to understand, through diligent archival research, how the families of the Dona Ana Sphere negotiated and adapted to the political, economic and social realities of their time. Such a study may also reveal their tactics for the construction of a complicated peace.",Sonja Sonnenburg,sonja@sonnenburg.org,,,,inactive,036,united_item,united,img/derivatives/simple/obj037/thumbnail.jpg,img/derivatives/simple/obj037/full.jpg
obj036,DIGIE,"http://www.digie.org/
",http://history.elpasotexas.gov/digie,"DIGIE is a vast collection of images and videos exploring El Pasos past and present. It examines its people and its many cultures on giant 3-D touch-sensitive TV screens at the Museum of History and on a mobile Mini-Digie as well. Our Mini-Digie will be transported to classrooms, malls, community centers and other locations where citizens gather so everyone has the opportunity to experience and be included in El Pasos digital history.",El Paso Museum of History,digitalwall@elpasotexas.gov,,,,active,035,united_item,united,img/derivatives/simple/obj036/thumbnail.jpg,img/derivatives/simple/obj036/full.jpg
obj022,Bracero History Archive,http://braceroarchive.org/items/browse/?type=4,,"The Bracero History Archive collects and makes available the oral histories and artifacts pertaining to the Bracero program, a guest worker initiative that spanned the years 1942-1964. Millions of Mexican agricultural workers crossed the border under the program to work in more than half of the states in the United States.","Bracero History Archive is a project of the Roy Rosenzweig Center for History and New Media, George Mason University, the Smithsonian National Museum of American History, Brown University, and The Institute of Oral History at the University of Texas at El Paso. Funding provided by the National Endowment for the Humanities. Principal Investigators: Sharon Leon, Tom Scheinfeldt; Project Manager: James Halabuk. Collections Director: Kristine Navarro; Outreach Director & Content Lead: Matt Garcia; Collections, Outreach & Dissemination Coordinator: Peter Liebhold, Steve Velazquez, Bonnie Lilienfeld; Latino Programming Coordinator: Magdalena Mieri",chnm@gmu.edu,,,,active,021,united_item,united,img/derivatives/simple/obj022/thumbnail.jpg,img/derivatives/simple/obj022/full.jpg
obj086,Onda Latina: The Mexican American Experience,http://www.laits.utexas.edu/onda_latina/index,,"The collection consists of 226 digitally preserved audio programs including interviews, music, and informational programs related to the Mexican American community and their concerns from the radio series ""The Mexican American Experience"" and ""A esta hora conversamos"" the Longhorn Radio Network, 1976-1982. The contents of this collection include interviews, music, and informational programs related to the Mexican American community and their concerns. Topics covered on these programs include political activities of Mexican Americans, Mexican American folklore and folk medicine, corridos, Tejano music, Mexican American musicians, voting rights, education, health, farm workers unions and working conditions, and some Mexican and Central American topics.","UT Austin, John Mckiernan-Gonzalez (professor, among many others)",blac@lib.utexas.edu,,,,active,085,united_item,united,img/derivatives/simple/obj086/thumbnail.jpg,img/derivatives/simple/obj086/full.jpg
obj092,Puente Arizona / Puente Movement / The Puente Human Rights Movement,http://puenteaz.org/,https://www.youtube.com/user/Puenteaz/featured,"The Puente Human Rights Movement is a grassroots migrant justice organization based in Phoenix, Arizona. We develop, educate, and empower migrant communities to protect and defend our families and ourselves.  We organize to build our communitys power with a Closed Fist, Open Hand Strategy.
With a closed fist, we fight enforcement that criminalizes our people through racial profiling, police-ICE collaboration, and the detention and deportation system.With an open hand, we combat attrition policies that try to make our lives unliveable, by building an inclusive community.

",,info@puenteaz.org,https://www.facebook.com/puenteaz/,https://twitter.com/Puenteaz,,active,091,united_item,united,img/derivatives/simple/obj092/thumbnail.jpg,img/derivatives/simple/obj092/full.jpg
obj045,EMIF - Encuestas sobre migracion en las fronteras norte y sur de Mexico,https://www.colef.mx/emif/,,"Surveys on Migration in the Northern and Southern Borders of Mexico (NH and SH), provide elements to measure and characterize migratory flows across the borders Mexico-United States and Mexico-Guatemala, as well as migrants returned to Mexico, Guatemala, Honduras and El Salvador, by immigration authorities from Mexico or the United States.",Colegio de la Frontera Norte,emifmail@colef.mx,,,,active,044,united_item,united,img/derivatives/simple/obj045/thumbnail.jpg,img/derivatives/simple/obj045/full.jpg
obj051,Fierce Fronteriza,https://www.fiercefronteriza.com/fierce-fronteriza-blog,,"Fierce Fronteriza seeks to inspire hope + consciousness + action to create a more just world by sharing the histories and stories of border people through essays, photographs, and interviews. Centering history from the periphery provides us different perspectives; invisible connections and alliances become visible. Trauma and perseverance live side by side. These histories reveal the past, illuminate the present, and provide us a vision for the future.",Dr. Yolanda Chavez Leyva,ycleyva@gmail.com,https://www.facebook.com/FierceFronteriza,https://twitter.com/FrcFronteriza,,active,050,united_item,united,img/derivatives/simple/obj051/thumbnail.jpg,img/derivatives/simple/obj051/full.jpg
obj079,Monroe Work Today,http://www.monroeworktoday.org/,,"The project presentes the work of Monroe Nathan Work, who lived from 1866 1945. This website is a rebirth of one piece of his work. In his career, he felt compelled to document every known lynching that was happening in the United States. The project is an update of Monroe Works legacy using digital tools to list again every known lynching, including what has been clarified or newly uncovered in contemporary research. Each record here has a footnote inviting you to investigate for yourself.",Auut Studio,,,https://twitter.com/MonroeWorkToday,,active,078,united_item,united,img/derivatives/simple/obj079/thumbnail.jpg,img/derivatives/simple/obj079/full.jpg
obj078,Migri Map,https://migrimap.sitey.me/,https://lizbethdelacruzsantana.com/,"The Migri Map is a publicly accessible physical guide and mobile application for Android and IOS devices of humanitarian aid resources in Tijuana, Mexico available to migrants. ","Comite Estrategico de Ayuda Humanitaria, Families Belong Together (partners)",migrimap@gmail.com,,https://twitter.com/MapMigri,,in progress,077,united_item,united,img/derivatives/simple/obj078/thumbnail.jpg,img/derivatives/simple/obj078/full.jpg
obj050,Festival Internacional de Poesia Caracol,http://festivalinternacionalpoesiacaracol.blogspot.com/,,"A blog that documents the Poetry Festival organized anually by Yohanna Jaramillo. It carries out activities mainly in Tijuana, but also in the cities from Baja California like Tecate, Rosarito and San Quintin.",Yohanna Jaramillo,yohannaj79@hotmail.com,https://es-la.facebook.com/tijuanaescaracol/,,,active,049,united_item,united,img/derivatives/simple/obj050/thumbnail.jpg,img/derivatives/simple/obj050/full.jpg
obj044,Ellas tienen nombre,http://www.ellastienennombre.org/,,"The project is composed of a map that shows the geographical location where some of the girls and women victims of feminicide in Ciudad Juarez from 1993 to date were killed, abandoned and / or found. This monitoring and mapping of femicides is made up of two parts. The first part includes from 1993 to 2014. To register the femicides committed in these years, the official information of government agencies as well as from non-governmental organizations, civil associations, newspapers, and information collected before from activists, writers, women and feminists was used. The second part includes from 2015 to date. At this time, the same creator has been monitoring and recording daily the femicides committed in the city through the digital and written press, as well as in social networks.",Lic. Ivonne Ramirez Ramirez,ivonne.rmzrmz@gmail.com,,,,active,043,united_item,united,img/derivatives/simple/obj044/thumbnail.jpg,img/derivatives/simple/obj044/full.jpg
obj093,Radio UABC,http://radio.uabc.mx/,,Department of the UABC in charge of the university radio. It safeguards open reel (reel-to-reel tapes) with more than 30 years of sound history. It has digitized work for several years and produced several podcasts.,Universidad Nacional Autonoma de Baja California (UABC),vanessa.verdugo@uabc.edu.mx,http://www.facebook.com/uabcradio,https://twitter.com/uabcradio,,active,092,united_item,united,img/derivatives/simple/obj093/thumbnail.jpg,img/derivatives/simple/obj093/full.jpg
obj087,Online Archive of California (OAC),http://www.oac.cdlib.org/,,"The Online Archive of California (OAC) provides free public access to detailed descriptions of primary resource collections maintained by more than 200 contributing institutions including libraries, special collections, archives, historical societies, and museums throughout California and collections maintained by the 10 University of California (UC) campuses.","University of California, California Digital Library: Digital Special Collections program",cdl@www.cdlib.org,,,,active,086,united_item,united,img/derivatives/simple/obj087/thumbnail.jpg,img/derivatives/simple/obj087/full.jpg
obj091,Proyecto Tierra y Libertad,https://web.archive.org/web/20170706130902/http://tierraylibertad.xyz:80/,,"A digital repository that contains artistic, historiographic and political interventions around the Magonista movement at the beginning of the 20th century.",Pepe Rojo,rojopepe@hotmail.com,,,,active,090,united_item,united,img/derivatives/simple/obj091/thumbnail.jpg,img/derivatives/simple/obj091/full.jpg
obj085,Observatorio Turistico de Baja California,http://www.observaturbc.org/,,"A research group dedicated to keeping track and characterizing the flow of tourists in, to, and across Baja Californian cities, particularly Tijuana. It offers statistical reports from yearly surveys on national and international visitors to Baja Californian cities, as well as on touristic attractions, such as Tijuana's festival ""opera en la calle."" It also has a monthly newsletter on Issuu with dossiers on different kinds of tourism (ecotourism, sports tourism, residential tourism, and so on). ","Colegio de la Frontera Norte, Nora Bringas",nbringas@colef.mx,https://www.facebook.com/observatur.bc,https://twitter.com/ShaneSLynch1,,active,084,united_item,united,img/derivatives/simple/obj085/thumbnail.jpg,img/derivatives/simple/obj085/full.jpg
obj052,Fonoteca Colef,https://soundcloud.com/fonotecaelcolef,,"Fonoteca Colef is a project replicating Mexico City's Fonoteca Nacional, founded and directed by researcher Miguel Olmos. It seeks to gather, preserve, and disseminate Mexico's Northwestern sound heritage.","Colegio de la Frontera Norte, Miguel Olmos",olmos@colef.mx,https://www.facebook.com/FonotecaElColef/,,,active,051,united_item,united,img/derivatives/simple/obj052/thumbnail.jpg,img/derivatives/simple/obj052/full.jpg
obj046,Everyday La Frontera,http://numerof.org/everyday-la-frontera/,,"An online conversation about culture, everyday life, migration, and human rights in the borderlands.",,"everydaylafrontera@gmail.com,  alonsocastillo026@gmail.com",https://www.facebook.com/everydaylafrontera/,,https://www.instagram.com/everydaylafrontera/,active,045,united_item,united,img/derivatives/simple/obj046/thumbnail.jpg,img/derivatives/simple/obj046/full.jpg
obj047,Family Reunions Project,https://www.familyreunionsproject.com/,https://www.facebook.com/FamilyReunionsProject/videos/199430000958200/,"VR is hailed for its ability to transport. The Family Reunions Project (FRP) is using this power to create immersive virtual reunions between undocumented immigrants and their families abroad. The FRP consists of two components. 1) Virtual Reunions via VR Postcards. VR Postcards consist of 360-degree video experiences that are pre-recorded and screened privately for families that have been separated due to immigration status. As VR technology advances, so too does our ability to connect people across distances. Our most recent ""VR Postcards"" have included room-scale 3D recreations of homes via photogrammetry. 2) Storytelling. The FRP culminated with ""Home with America,"" a VR documentary around one of the families that participated in the FRP. In this award-winning documentary, Gladys, an undocumented immigrant, cannot visit her dying mother, America. Defying this separation, Gladys finds a way, however ephemeral, to reunite with her mother.","Sumak Productions, Alvaro Morales, Frisly Soberanis, Cami Dominguez ",info@familyreunionsproject.com,https://www.facebook.com/FamilyReunionsProject,,,in progress,046,united_item,united,img/derivatives/simple/obj047/thumbnail.jpg,img/derivatives/simple/obj047/full.jpg
obj053,Forgotten Histories of the U.S.-Mexico Border,https://blogs.brown.edu/amst-1700d-s01-fall-2015/,,"Students in the Fall 2015 junior seminar Race and Remembering compiled this digital exhibit, to illuminate historical and ongoing anti-immigrant and anti-Latinx violences through a focus on the U.S.-Mexico border. It exposes processes of colonization, racialization of Latinx populations, and policing that are fundamental to its history and legacy.","Brown University, Kenia Alfaro, Dylan Cole-Kink, Liam Dean-Johnson, Liam Dean-Johnson, Sage Fanucchi-Funes, Anselmo Fuentes, Danielle Galvan Gomez, Amani Hayes-Messinger, Liz Malone, Joey Massa, Linda Medina, Hector Peralta, Jonatan Perez, Sofia Robledo Rower, Spencer Roth-Rose, Mae Verano, Jeremy Wolin, Jessica Zambrano",,,,,active,052,united_item,united,img/derivatives/simple/obj053/thumbnail.jpg,img/derivatives/simple/obj053/full.jpg
obj084,New Mexico Digital Collections,http://econtent.unm.edu/,,"New Mexico Digital Collections is the central search portal for digital collections about New Mexico. A service of the University of New Mexico Libraries, we provides access to digitized photographs, manuscripts, posters, oral histories, videos, maps, and books from libraries, museums, and cultural centers across the state.","University of New Mexico Library in collaboration with: Acequia Madre House, Albuquerque Bernalillo County Library Special Collections;The Albuquerque Museum; Belen Harvey House Museum; Corrales Historical Society; Farmington Museum; Historical Society of New Mexico; Hubbard Museum of the American West; Indian Pueblo Cultural Center; Institute of American Indian Arts; Los Lunas Museum of Heritage and Arts; National Hispanic Cultural Center; New Mexico History Museum, Chavez History Library; New Mexico History Museum, Photo Archives; New Mexico Museum of Natural History; New Mexico State University Library; Roswell Museum and Art Center; Silver City Museum; University of New Mexico, Art Museum; University of New Mexico, Center for Southwest Research; University of New Mexico, Department of Music; University of New Mexico, Spanish Colonial Research Center; University of New Mexico, Health Historical Collections; University of New Mexico, Tamarind Institute",,https://www.facebook.com/UNMlibraries,https://twitter.com/UNMLibraries,,active,083,united_item,united,img/derivatives/simple/obj084/thumbnail.jpg,img/derivatives/simple/obj084/full.jpg
obj090,Poets Against Border Walls,https://www.youtube.com/channel/UCiqBlWXBjVoMjX3R1RMovng,,"In light of border wall building for the past 10+ years in the Rio Grande Valley of Tejas with the federal government's plans for more, and in light of additional policies that negatively affect us, our families, and our communities, Resistencia: Poets Against Walls Collective aims to tell, document, and share communal stories from individual perspectives--through poetry, testimonio, and the spoken word--about life here en la frontera, stories and/or points of view the media often misses. We seek to do and create ""work that matters"" as per the late Valley writer and visionary Gloria E. Anzaldua, and through our resistencia, help cultivate social change.","Emmy Perez, Alejandro Sanchez, Arnulfo Segovia",poetsagainstwalls@gmail.com,,https://twitter.com/PoetsAgstWalls,,active,089,united_item,united,img/derivatives/simple/obj090/thumbnail.jpg,img/derivatives/simple/obj090/full.jpg
obj094,Red de Nacional Fonotecas Virtuales,https://www.fonotecanacional.gob.mx/index.php/servicios/red-de-fonotecas-virtuales#,,A platform created by the Red de Nacional Fonotecas Virtuales that allows access to the heritage sounds digitized of the institution through all the virtual sound libraries installed in various educational and cultural institutions of the country.,Fonoteca Nacional de Mexico,informesrnf@cultura.gob.mx,,,,active,093,united_item,united,img/derivatives/simple/obj094/thumbnail.jpg,img/derivatives/simple/obj094/full.jpg
obj080,Museo de las Californias,"http://www.cecut.gob.mx/emuseo.php
",http://cecut.gob.mx/exposiciones/,"Inaugurated on February 24, 2000, it has a permanent exhibition of representative objects of regional history, from prehistory to the second half of the 20th century. It was designed in a helical ramp of 2,200 square meters and is the only cultural space in the city that shows a historical synthesis and incorporates interactive resources to the traditional museography discourse.",Centro Cultural Tijuana ,,https://www.facebook.com/pages/Museo-de-las-Californias/563688453656615,,,active,079,united_item,united,img/derivatives/simple/obj080/thumbnail.jpg,img/derivatives/simple/obj080/full.jpg
obj057,Hemeroteca Joaquin Meade,http://iih.uat.edu.mx/FONDOS%20%20Y%20COLECCIONES/HEMEROTECA.html,,"It contains periodical publications, most of the state of Tamaulipas and some of other entities of the country. (Extreme dates: 1824-1939).","Universidad Autonoma de Tamaulipas, Juan Diaz Rodriguez, Rosa Elia Reyna avila",,,,,active,056,united_item,united,img/derivatives/simple/obj057/thumbnail.jpg,img/derivatives/simple/obj057/full.jpg
obj043,El Paso History Alliance,https://www.facebook.com/elpasohistoryalliance/,,"The El Paso History Alliance is a group of historians who promote the history and culture of El Paso. This Facebook page is not subject to any government entity and is therefore a free speech zone. The El Paso History Alliance ""IS NOT"" a 501C3 Non Profit Organization. This page has NO CONNECTION to the El Paso County Historical Commission, which does not own this page or its content.",,epha1881@gmail.com,https://www.facebook.com/elpasohistoryalliance/,,,active,042,united_item,united,img/derivatives/simple/obj043/thumbnail.jpg,img/derivatives/simple/obj043/full.jpg
obj042,El lobo y el cordero ediciones,https://issuu.com/loboycordero.ediciones,,"Tijuana publishing house specialized in the narrative of horror and science fiction [later it would become the Monomitos publishing house, also founded by Nestor Robles.",Nestor Robles,editorialojodepez@gmail.com,https://www.facebook.com/loboycordero.ediciones/,,,inactive,041,united_item,united,img/derivatives/simple/obj042/thumbnail.jpg,img/derivatives/simple/obj042/full.jpg
